,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
473,11170,F,60대,전자상거래,5,3
474,11170,F,60대,주유,8,11
475,11170,F,70대이상,가전/가구,13,9
476,11170,F,70대이상,가정생활/서비스,5,7
477,11170,F,70대이상,교육/학원,14,14
478,11170,F,70대이상,미용,9,11
479,11170,F,70대이상,스포츠/문화/레저,10,10
480,11170,F,70대이상,여행/교통,7,5
481,11170,F,70대이상,요식/유흥,2,3
482,11170,F,70대이상,유통,1,1
483,11170,F,70대이상,음/식료품,4,6
484,11170,F,70대이상,의료,3,2
485,11170,F,70대이상,의류/잡화,11,8
486,11170,F,70대이상,자동차,12,13
487,11170,F,70대이상,전자상거래,6,4
488,11170,F,70대이상,주유,8,12
489,11170,M,10대,가전/가구,12,13
490,11170,M,10대,가정생활/서비스,5,8
491,11170,M,10대,교육/학원,10,10
492,11170,M,10대,미용,9,9
493,11170,M,10대,스포츠/문화/레저,3,4
494,11170,M,10대,여행/교통,8,5
495,11170,M,10대,요식/유흥,2,1
496,11170,M,10대,유통,1,2
497,11170,M,10대,음/식료품,6,11
498,11170,M,10대,의료,7,6
499,11170,M,10대,의류/잡화,11,7
500,11170,M,10대,자동차,14,14
501,11170,M,10대,전자상거래,4,3
502,11170,M,10대,주유,13,12
503,11170,M,20대,가전/가구,12,13
504,11170,M,20대,가정생활/서비스,5,4
505,11170,M,20대,교육/학원,14,14
506,11170,M,20대,미용,9,10
507,11170,M,20대,스포츠/문화/레저,3,5
508,11170,M,20대,여행/교통,6,6
509,11170,M,20대,요식/유흥,2,1
510,11170,M,20대,유통,1,2
511,11170,M,20대,음/식료품,8,12
512,11170,M,20대,의료,7,7
513,11170,M,20대,의류/잡화,11,8
514,11170,M,20대,자동차,13,9
515,11170,M,20대,전자상거래,4,3
516,11170,M,20대,주유,10,11
517,11170,M,30대,가전/가구,13,11
518,11170,M,30대,가정생활/서비스,4,4
519,11170,M,30대,교육/학원,14,14
520,11170,M,30대,미용,10,13
521,11170,M,30대,스포츠/문화/레저,6,7
522,11170,M,30대,여행/교통,7,5
523,11170,M,30대,요식/유흥,2,1
524,11170,M,30대,유통,1,3
525,11170,M,30대,음/식료품,8,12
526,11170,M,30대,의료,5,6
527,11170,M,30대,의류/잡화,12,10
528,11170,M,30대,자동차,11,9
529,11170,M,30대,전자상거래,3,2
530,11170,M,30대,주유,9,8
531,11170,M,40대,가전/가구,14,9
532,11170,M,40대,가정생활/서비스,5,4
533,11170,M,40대,교육/학원,13,11
534,11170,M,40대,미용,10,14
535,11170,M,40대,스포츠/문화/레저,8,8
536,11170,M,40대,여행/교통,9,6
537,11170,M,40대,요식/유흥,2,1
538,11170,M,40대,유통,1,2
539,11170,M,40대,음/식료품,6,12
540,11170,M,40대,의료,4,5
541,11170,M,40대,의류/잡화,12,13
542,11170,M,40대,자동차,11,10
543,11170,M,40대,전자상거래,3,3
544,11170,M,40대,주유,7,7
545,11170,M,50대,가전/가구,13,12
546,11170,M,50대,가정생활/서비스,5,5
547,11170,M,50대,교육/학원,14,14
548,11170,M,50대,미용,10,13
549,11170,M,50대,스포츠/문화/레저,9,9
550,11170,M,50대,여행/교통,8,6
551,11170,M,50대,요식/유흥,2,1
552,11170,M,50대,유통,1,2
553,11170,M,50대,음/식료품,7,10
554,11170,M,50대,의료,3,4
555,11170,M,50대,의류/잡화,12,11
556,11170,M,50대,자동차,11,7
557,11170,M,50대,전자상거래,4,3
558,11170,M,50대,주유,6,8
559,11170,M,60대,가전/가구,13,9
560,11170,M,60대,가정생활/서비스,5,5
561,11170,M,60대,교육/학원,14,14
562,11170,M,60대,미용,10,13
563,11170,M,60대,스포츠/문화/레저,9,10
564,11170,M,60대,여행/교통,8,4
565,11170,M,60대,요식/유흥,2,2
566,11170,M,60대,유통,1,1
567,11170,M,60대,음/식료품,6,8
568,11170,M,60대,의료,3,3
569,11170,M,60대,의류/잡화,12,11
570,11170,M,60대,자동차,11,12
571,11170,M,60대,전자상거래,7,6
572,11170,M,60대,주유,4,7
573,11170,M,70대이상,가전/가구,14,9
574,11170,M,70대이상,가정생활/서비스,6,6
575,11170,M,70대이상,교육/학원,13,14
576,11170,M,70대이상,미용,10,13
577,11170,M,70대이상,스포츠/문화/레저,9,11
578,11170,M,70대이상,여행/교통,8,4
579,11170,M,70대이상,요식/유흥,1,3
580,11170,M,70대이상,유통,2,2
581,11170,M,70대이상,음/식료품,5,7
582,11170,M,70대이상,의료,3,1
583,11170,M,70대이상,의류/잡화,12,12
584,11170,M,70대이상,자동차,11,10
585,11170,M,70대이상,전자상거래,7,8
586,11170,M,70대이상,주유,4,5
587,11200,F,10대,가전/가구,12,12
588,11200,F,10대,가정생활/서비스,7,10
589,11200,F,10대,교육/학원,9,11
590,11200,F,10대,미용,10,8
591,11200,F,10대,스포츠/문화/레저,4,5
592,11200,F,10대,여행/교통,11,7
593,11200,F,10대,요식/유흥,1,1
594,11200,F,10대,유통,2,2
595,11200,F,10대,음/식료품,5,9
596,11200,F,10대,의료,8,6
597,11200,F,10대,의류/잡화,6,4
598,11200,F,10대,자동차,13.5,13
599,11200,F,10대,전자상거래,3,3
600,11200,F,10대,주유,13.5,14
601,11200,F,20대,가전/가구,12,10
602,11200,F,20대,가정생활/서비스,6,5
603,11200,F,20대,교육/학원,11,12
604,11200,F,20대,미용,10,9
605,11200,F,20대,스포츠/문화/레저,4,7
606,11200,F,20대,여행/교통,7,6
607,11200,F,20대,요식/유흥,1,1
608,11200,F,20대,유통,2,3
609,11200,F,20대,음/식료품,8,11
610,11200,F,20대,의료,5,4
